name,Edad,Posicion,Altura,Peso,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad,Kmeans_Clusters
Pape Diop,33,Midfielder,180,77,1218,1,0,5,0,1.1,74.6,0,2.6,1.0,1.1,2.0,0.0,1.1,1.1,0.1,0,0.6,0.1,1.3,0.0,0.6,1.0,31.5,0.1,2.4,0.1,0
Marko Dmitrovic,27,GoalKeeper,194,94,1530,0,0,3,0,0.0,44.4,0,0.4,0.1,0.1,0.1,0.0,0.8,0.1,0.0,0,0.0,0.0,0.1,0.0,0.0,0.1,27.7,0.0,8.5,0.0,2
Ante Budimir,28,Forward,190,75,1384,6,0,4,0,1.5,64.5,2,4.4,1.1,0.1,2.4,0.0,1.0,0.5,0.2,0,0.1,0.5,2.2,0.6,1.1,2.8,16.4,0.1,0.1,0.0,3
Manolo Reina,34,GoalKeeper,186,81,1440,0,0,1,0,0.0,57.6,1,0.2,0.0,0.2,0.0,0.0,0.4,0.1,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,28.4,0.0,7.3,0.0,2
Dani Rodríguez,31,Attacker,178,71,1333,3,0,2,0,1.5,81.5,1,0.8,1.7,0.9,1.5,0.0,0.6,1.1,0.0,0,0.7,0.8,1.4,0.2,0.9,2.1,24.5,0.2,1.4,0.0,3
Iddrisu Baba,23,Defender,185,73,1328,0,0,4,0,0.3,80.0,0,2.5,1.8,1.3,1.4,0.1,1.3,1.6,0.3,1,0.3,1.3,1.7,0.1,1.1,1.1,36.3,0.0,1.9,0.0,0
Salva Sevilla,35,Midfielder,178,71,1278,3,1,5,0,0.9,88.1,0,0.2,0.6,0.3,1.1,0.0,0.7,0.7,0.1,0,1.8,0.2,0.4,0.1,0.7,0.8,50.5,0.9,2.9,0.1,3
Martin Valjent,24,Defender,187,70,1530,0,0,2,0,0.5,83.1,0,1.4,0.8,0.9,0.5,0.3,4.8,0.3,0.4,0,0.1,0.2,0.3,0.0,0.2,0.3,30.6,0.0,2.1,0.0,4
Joan Sastre,22,Defender,174,75,1212,0,2,4,0,0.8,69.9,0,0.6,1.7,1.4,1.2,0.0,1.6,1.1,0.1,0,1.0,0.1,1.3,0.0,0.4,1.6,28.5,1.0,1.7,0.0,0
Antonio Raíllo,28,Defender,187,80,1227,0,0,1,1,0.6,85.2,0,1.7,1.1,0.6,0.8,0.6,3.8,0.3,0.9,0,0.1,0.1,0.1,0.1,0.1,0.2,35.7,0.0,2.8,0.0,4
Denis Suárez,25,Attacker,176,69,1199,1,2,2,0,0.9,82.0,1,0.3,0.8,0.6,0.7,0.0,0.4,1.1,0.1,0,2.1,2.6,1.6,0.0,2.3,1.5,34.4,1.3,1.1,0.0,3
Iago Aspas,32,Attacker,176,67,1528,6,0,3,0,2.6,79.3,1,0.7,0.8,0.5,0.7,0.0,0.1,0.6,0.0,0,1.1,1.3,1.9,0.6,1.0,2.0,32.4,0.1,1.1,0.0,3
Néstor Araújo,28,Defender,188,87,1382,1,0,4,0,0.4,86.6,0,3.2,1.4,1.6,0.8,0.4,3.7,0.5,0.8,0,0.1,0.0,0.2,0.0,0.1,0.3,49.4,0.0,1.9,0.0,4
Lucas Olaza,25,Defender,173,68,1348,1,2,3,0,0.5,81.2,0,0.9,1.7,0.9,0.7,0.2,1.7,0.4,0.2,0,1.0,0.3,0.5,0.0,0.4,0.4,46.4,1.1,1.6,0.0,0
Rubén Blanco,24,GoalKeeper,188,70,1350,0,0,2,0,0.0,60.7,1,0.2,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,27.1,0.0,6.1,0.0,2
Joseph Aidoo,24,Defender,180,80,1431,0,0,3,0,0.4,88.3,0,2.1,1.3,1.6,0.6,0.4,4.5,0.3,0.5,0,0.0,0.4,0.8,0.0,0.2,0.4,47.6,0.0,2.9,0.0,4
Stanislav Lobotka,25,Defender,170,64,1301,0,0,1,0,0.4,89.4,0,0.8,1.1,0.5,0.6,0.1,0.4,0.9,0.1,0,0.4,0.7,1.3,0.1,0.8,0.6,45.4,0.0,2.2,0.0,0
Youssef En-Nesyri,22,Forward,189,73,1205,3,1,2,0,2.2,57.1,0,3.8,0.4,0.3,1.3,0.0,1.2,0.6,0.1,0,0.4,0.9,1.1,1.0,0.8,2.3,13.7,0.1,0.4,0.0,3
Unai Bustinza,27,Defender,175,74,1341,0,1,2,0,0.3,70.4,0,2.2,1.9,1.9,1.6,0.3,2.7,0.6,0.4,0,0.7,0.3,1.3,0.2,0.2,0.5,35.3,0.3,2.9,0.0,0
Martin Braithwaite,28,Attacker,177,73,1316,4,0,1,0,1.5,70.9,0,1.6,0.5,0.2,0.9,0.1,0.2,0.5,0.1,0,0.6,1.4,1.1,0.4,1.1,1.6,15.2,0.0,0.5,0.0,3
Jonathan Silva,25,Defender,178,72,1350,0,0,6,0,0.6,72.7,0,1.4,2.2,0.9,1.5,0.2,1.9,0.8,0.1,1,1.0,0.3,1.1,0.0,0.6,0.9,31.5,1.7,1.3,0.1,0
Víctor Sánchez,32,Defender,174,72,1231,0,1,5,0,0.3,82.4,0,1.5,3.1,1.1,2.1,0.1,0.9,2.1,0.3,0,1.4,0.7,1.5,0.0,1.3,1.3,45.8,1.1,2.2,0.0,0
Diego López,38,GoalKeeper,196,89,1440,0,0,1,0,0.0,57.7,0,0.1,0.1,0.1,0.0,0.0,0.7,0.1,0.0,0,0.0,0.1,0.3,0.0,0.0,0.0,29.7,0.0,6.8,0.0,2
Marc Roca,23,Defender,184,74,1365,2,0,2,0,1.3,82.8,0,1.1,2.1,1.3,2.1,0.1,1.8,0.9,0.4,0,0.4,0.2,0.6,0.0,0.7,1.2,55.5,0.0,5.8,0.1,0
